grupo_1,codigo,descricao,custo_unitario,unidade,tipo
Acessibilidade,104658,"PISO PODOTÁTIL DE ALERTA OU DIRECIONAL, DE CONCRETO, ASSENTADO SOBRE ARGAMASSA. AF_03/2024",150.91,M2,COMPOSIÇÃO
Acessibilidade,105002,"RAMPA DE ACESSIBILIDADE EM CONCRETO MOLDADO IN LOCO, EM CALÇADA NOVA COM LARGURA MAIOR OU IGUAL À 3,00 M, FCK 25MPA, COM PISO PODOTÁTIL. AF_03/2024",720.27,UN,COMPOSIÇÃO
Acessibilidade,105004,"RAMPA DE ACESSIBILIDADE EM CONCRETO MOLDADO IN LOCO, EM CALÇADA NOVA COM LARGURA MENOR À 3,00 M, FCK 25MPA, COM PISO PODOTÁTIL. AF_03/2024",122.19,M2,COMPOSIÇÃO
Acessibilidade,105003,"RAMPA DE ACESSIBILIDADE EM CONCRETO MOLDADO IN LOCO, EM CALÇADA PRÉ EXISTENTE COM LARGURA MAIOR OU IGUAL À 3,00 M, FCK 25MPA, COM PISO PODOTÁTIL. AF_03/2024",1178.81,UN,COMPOSIÇÃO
Acessibilidade,105005,"RAMPA DE ACESSIBILIDADE EM CONCRETO MOLDADO IN LOCO, EM CALÇADA PRÉ EXISTENTE COM LARGURA MENOR À 3,00 M, FCK 25MPA, COM PISO PODOTÁTIL. AF_03/2024",207.09,M2,COMPOSIÇÃO
Acessibilidade,105006,"RAMPA DE ACESSIBILIDADE EM CONCRETO PRÉ MOLDADO, EM CALÇADA NOVA COM LARGURA MAIOR OU IGUAL À 3,00 M, FCK 25MPA, COM PISO PODOTÁTIL. AF_03/2024",0.00,UN,COMPOSIÇÃO
Acessibilidade,104999,"RAMPA DE ACESSIBILIDADE EM CONCRETO PRÉ MOLDADO, EM CALÇADA PRÉ EXISTENTE COM LARGURA MAIOR OU IGUAL À 3,00 M, FCK 25MPA, COM PISO PODOTÁTIL. AF_03/2024",0.00,UN,COMPOSIÇÃO
Acessibilidade,105000,"RAMPA DE ACESSIBILIDADE PARA ACESSO A EDIFICAÇÕES COM INCLINAÇÃO DE 8,33% EM CONCRETO MOLDADO IN LOCO, COM LARGURA DE 1,20M, FCK 25MPA, NÃO ARMADA, COM JUNTA A CADA 2M COM CORTE À SECO. AF_03/2024",1364.71,M,COMPOSIÇÃO
Acessibilidade,105001,"RAMPA DE ACESSIBILIDADE PARA ACESSO A EDIFICAÇÕES COM INCLINAÇÃO DE 8,33% EM CONCRETO MOLDADO IN LOCO, COM LARGURA DE 1,50M, FCK 25MPA, NÃO ARMADA, COM JUNTA A CADA 2M COM CORTE À SECO. AF_03/2024",1395.91,M,COMPOSIÇÃO
Alvenaria Estrutural - Blocos Cerâmicos,89306,"ALVENARIA ESTRUTURAL DE BLOCOS CERÂMICOS 14X19X29, (ESPESSURA DE 14 CM), UTILIZANDO COLHER DE PEDREIRO E ARGAMASSA DE ASSENTAMENTO COM PREPARO EM BETONEIRA. AF_03/2023",97.92,M2,COMPOSIÇÃO
Alvenaria Estrutural - Blocos Cerâmicos,89307,"ALVENARIA ESTRUTURAL DE BLOCOS CERÂMICOS 14X19X29, (ESPESSURA DE 14 CM), UTILIZANDO COLHER DE PEDREIRO E ARGAMASSA DE ASSENTAMENTO COM PREPARO MANUAL. AF_03/2023",99.83,M2,COMPOSIÇÃO
Alvenaria Estrutural - Blocos Cerâmicos,89290,"ALVENARIA ESTRUTURAL DE BLOCOS CERÂMICOS 14X19X29, (ESPESSURA DE 14 CM), UTILIZANDO PALHETA E ARGAMASSA DE ASSENTAMENTO COM PREPARO EM BETONEIRA. AF_03/2023",81.52,M2,COMPOSIÇÃO
Alvenaria Estrutural - Blocos Cerâmicos,89291,"ALVENARIA ESTRUTURAL DE BLOCOS CERÂMICOS 14X19X29, (ESPESSURA DE 14 CM), UTILIZANDO PALHETA E ARGAMASSA DE ASSENTAMENTO COM PREPARO MANUAL. AF_03/2023",82.94,M2,COMPOSIÇÃO
Alvenaria Estrutural - Blocos Cerâmicos,89298,"ALVENARIA ESTRUTURAL DE BLOCOS CERÂMICOS 14X19X39, (ESPESSURA DE 14 CM), UTILIZANDO COLHER DE PEDREIRO E ARGAMASSA DE ASSENTAMENTO COM PREPARO EM BETONEIRA. AF_03/2023",85.15,M2,COMPOSIÇÃO
Alvenaria Estrutural - Blocos Cerâmicos,89299,"ALVENARIA ESTRUTURAL DE BLOCOS CERÂMICOS 14X19X39, (ESPESSURA DE 14 CM), UTILIZANDO COLHER DE PEDREIRO E ARGAMASSA DE ASSENTAMENTO COM PREPARO MANUAL. AF_03/2023",86.86,M2,COMPOSIÇÃO
Alvenaria Estrutural - Blocos Cerâmicos,89282,"ALVENARIA ESTRUTURAL DE BLOCOS CERÂMICOS 14X19X39, (ESPESSURA DE 14 CM), UTILIZANDO PALHETA E ARGAMASSA DE ASSENTAMENTO COM PREPARO EM BETONEIRA. AF_03/2023",73.55,M2,COMPOSIÇÃO
Alvenaria Estrutural - Blocos Cerâmicos,89283,"ALVENARIA ESTRUTURAL DE BLOCOS CERÂMICOS 14X19X39, (ESPESSURA DE 14 CM), UTILIZANDO PALHETA E ARGAMASSA DE ASSENTAMENTO COM PREPARO MANUAL. AF_03/2023",74.84,M2,COMPOSIÇÃO
Alvenaria Estrutural - Blocos de Concreto,89480,"ALVENARIA DE BLOCOS DE CONCRETO ESTRUTURAL 14X19X29 CM (ESPESSURA 14 CM), FBK = 14 MPA, UTILIZANDO COLHER DE PEDREIRO. AF_10/2022",163.40,M2,COMPOSIÇÃO
Alvenaria Estrutural - Blocos de Concreto,89464,"ALVENARIA DE BLOCOS DE CONCRETO ESTRUTURAL 14X19X29 CM (ESPESSURA 14 CM), FBK = 14,0 MPA, UTILIZANDO PALHETA. AF_10/2022",143.20,M2,COMPOSIÇÃO
Alvenaria Estrutural - Blocos de Concreto,89478,"ALVENARIA DE BLOCOS DE CONCRETO ESTRUTURAL 14X19X29 CM (ESPESSURA 14 CM), FBK = 4,5 MPA, UTILIZANDO COLHER DE PEDREIRO. AF_10/2022",140.62,M2,COMPOSIÇÃO
Alvenaria Estrutural - Blocos de Concreto,89462,"ALVENARIA DE BLOCOS DE CONCRETO ESTRUTURAL 14X19X29 CM (ESPESSURA 14 CM), FBK = 4,5 MPA, UTILIZANDO PALHETA. AF_10/2022",121.37,M2,COMPOSIÇÃO
Alvenaria Estrutural - Blocos de Concreto,104444,"ALVENARIA DE BLOCOS DE CONCRETO ESTRUTURAL 14X19X29 CM (ESPESSURA 14 CM), FBK = 8 MPA, UTILIZANDO COLHER DE PEDREIRO. AF_10/2022",0.00,M2,COMPOSIÇÃO
Alvenaria Estrutural - Blocos de Concreto,104442,"ALVENARIA DE BLOCOS DE CONCRETO ESTRUTURAL 14X19X29 CM (ESPESSURA 14 CM), FBK = 8 MPA, UTILIZANDO PALHETA. AF_10/2022",0.00,M2,COMPOSIÇÃO
Alvenaria Estrutural - Blocos de Concreto,89472,"ALVENARIA DE BLOCOS DE CONCRETO ESTRUTURAL 14X19X39 CM (ESPESSURA 14 CM), FBK = 14 MPA, UTILIZANDO COLHER DE PEDREIRO. AF_10/2022",125.46,M2,COMPOSIÇÃO
Alvenaria Estrutural - Blocos de Concreto,89455,"ALVENARIA DE BLOCOS DE CONCRETO ESTRUTURAL 14X19X39 CM (ESPESSURA 14 CM), FBK = 14 MPA, UTILIZANDO PALHETA. AF_10/2022",112.68,M2,COMPOSIÇÃO
Alvenaria Estrutural - Blocos de Concreto,89470,"ALVENARIA DE BLOCOS DE CONCRETO ESTRUTURAL 14X19X39 CM (ESPESSURA 14 CM), FBK = 4,5 MPA, UTILIZANDO COLHER DE PEDREIRO. AF_10/2022",104.49,M2,COMPOSIÇÃO
Alvenaria Estrutural - Blocos de Concreto,89453,"ALVENARIA DE BLOCOS DE CONCRETO ESTRUTURAL 14X19X39 CM (ESPESSURA 14 CM), FBK = 4,5 MPA, UTILIZANDO PALHETA. AF_10/2022",92.69,M2,COMPOSIÇÃO
Alvenaria Estrutural - Blocos de Concreto,104443,"ALVENARIA DE BLOCOS DE CONCRETO ESTRUTURAL 14X19X39 CM (ESPESSURA 14 CM), FBK = 8 MPA, UTILIZANDO COLHER DE PEDREIRO. AF_10/2022",0.00,M2,COMPOSIÇÃO
Alvenaria Estrutural - Blocos de Concreto,104441,"ALVENARIA DE BLOCOS DE CONCRETO ESTRUTURAL 14X19X39 CM (ESPESSURA 14 CM), FBK = 8 MPA, UTILIZANDO PALHETA. AF_10/2022",0.00,M2,COMPOSIÇÃO
Alvenaria de Vedação,103354,"ALVENARIA DE VEDAÇÃO DE BLOCOS CERÂMICOS FURADOS NA HORIZONTAL DE 11,5X14X24 CM (ESPESSURA 11,5 CM) E ARGAMASSA DE ASSENTAMENTO COM PREPARO EM BETONEIRA. AF_12/2021",89.44,M2,COMPOSIÇÃO
Alvenaria de Vedação,103355,"ALVENARIA DE VEDAÇÃO DE BLOCOS CERÂMICOS FURADOS NA HORIZONTAL DE 11,5X14X24 CM (ESPESSURA 11,5 CM) E ARGAMASSA DE ASSENTAMENTO COM PREPARO MANUAL. AF_12/2021",90.58,M2,COMPOSIÇÃO
Alvenaria de Vedação,103330,"ALVENARIA DE VEDAÇÃO DE BLOCOS CERÂMICOS FURADOS NA HORIZONTAL DE 11,5X19X19 CM (ESPESSURA 11,5 CM) E ARGAMASSA DE ASSENTAMENTO COM PREPARO EM BETONEIRA. AF_12/2021",83.12,M2,COMPOSIÇÃO
Alvenaria de Vedação,103331,"ALVENARIA DE VEDAÇÃO DE BLOCOS CERÂMICOS FURADOS NA HORIZONTAL DE 11,5X19X19 CM (ESPESSURA 11,5 CM) E ARGAMASSA DE ASSENTAMENTO COM PREPARO MANUAL. AF_12/2021",84.20,M2,COMPOSIÇÃO
Alvenaria de Vedação,103358,"ALVENARIA DE VEDAÇÃO DE BLOCOS CERÂMICOS FURADOS NA HORIZONTAL DE 11,5X19X29 CM (ESPESSURA 11,5 CM) E ARGAMASSA DE ASSENTAMENTO COM PREPARO EM BETONEIRA. AF_12/2021",70.51,M2,COMPOSIÇÃO
