id_composicao,id,coeficiente
104658,88316,1.279
104658,88309,0.639
104658,36178,6.4375
104658,34357,0.24
104658,34353,8.62
105002,104658,0.48
105002,94965,0.6650246
105002,88316,7.208
105002,88309,3.604
105002,5068,0.036696
105002,4718,0.027
105002,4509,7.48
105004,104658,0.0576577
105004,94965,0.1231527
105004,88316,1.261
105004,88309,0.63
105004,5068,0.0044079
105004,4718,0.005
105004,4509,0.7399399
105003,104658,0.48
105003,94965,0.6650246
105003,90965,5.2258834
105003,90964,0.9539216
105003,88316,17.011
105003,88309,2.325195
105003,5952,5.2258834
105003,5795,0.9539216
105003,5068,0.036696
105003,4718,0.1998
105003,4509,7.48
105005,104658,0.0576577
105005,94965,0.1231527
105005,90965,0.9677562
105005,90964,0.1766521
105005,88316,3.076
105005,88309,0.3935917
105005,5952,0.9677562
105005,5795,0.1766521
105005,5068,0.0044079
105005,4718,0.037
105005,4509,0.7399399
105006,88316,2.189
105006,88309,1.094
105006,87307,0.131886
105006,87286,0.0259413
105006,45087,1
104999,90965,2.961334
104999,90964,0.5405556
104999,88316,7.4
104999,88309,0.1981105
104999,87307,0.131886
104999,87286,0.0259413
104999,45087,1
104999,5952,2.961334
104999,5795,0.5405556
105000,104658,0.5
105000,104626,0.12
105000,99837,2
105000,96624,0.12
105001,104658,0.525
105001,104626,0.15
105001,99837,2
105001,96624,0.15
89306,88316,0.6
89306,88309,1.2
89306,87286,0.0192
89306,34788,1.53
89306,34649,1.27
89306,34586,15.29
89307,88316,0.6
89307,88309,1.2
89307,87367,0.0192
89307,34788,1.53
89307,34649,1.27
89307,34586,15.29
89290,88316,0.43
89290,88309,0.86
89290,87286,0.0143
89290,34788,1.53
89290,34649,1.27
89290,34586,15.29
89291,88316,0.43
89291,88309,0.86
89291,87367,0.0143
89291,34788,1.53
89291,34649,1.27
89291,34586,15.29
89298,88316,0.44
89298,88309,0.88
89298,87286,0.0172
89298,38603,1.44
89298,34781,1.44
89298,34655,0.96
89298,34588,10.06
89299,88316,0.44
89299,88309,0.88
89299,87367,0.0172
89299,38603,1.44
89299,34781,1.44
89299,34655,0.96
89299,34588,10.06
89282,88316,0.33
89282,88309,0.65
89282,87286,0.0129
89282,38603,1.44
89282,34781,1.44
89282,34655,0.96
89282,34588,10.06
89283,88316,0.33
89283,88309,0.65
89283,87367,0.0129
89283,38603,1.44
89283,34781,1.44
89283,34655,0.96
89283,34588,10.06
89480,88626,0.0187
89480,88316,1.13
89480,88309,1.13
89480,38599,1.27
89480,38592,1.52
89480,34564,15.19
89464,88626,0.0125
89464,88316,0.8
89464,88309,0.8
89464,38599,1.27
89464,38592,1.52
89464,34564,15.19
89478,88715,0.0187
89478,88316,1.05
89478,88309,1.05
89478,38596,1.29
89478,38590,15.51
89478,38588,1.55
89462,88715,0.0125
89462,88316,0.74
89462,88309,0.74
89462,38596,1.29
89462,38590,15.51
89462,38588,1.55
104444,88316,1.08
104444,88309,1.08
104444,87286,0.0187
104444,44905,1.28
104444,44904,1.54
104444,34567,15.37
104442,88316,0.76
104442,88309,0.76
104442,87286,0.0125
104442,44905,1.28
104442,44904,1.54
104442,34567,15.37
89472,88626,0.0168
89472,88316,0.67
89472,88309,0.67
89472,38600,0.95
89472,38594,1.43
89472,38593,1.43
89472,34570,9.99
89455,88626,0.0113
89455,88316,0.48
89455,88309,0.48
89455,38600,0.95
89455,38594,1.43
89455,38593,1.43
89455,34570,9.99
89470,88715,0.0168
89470,88316,0.62
89470,88309,0.62
89470,38597,0.97
89470,38591,1.46
89470,38589,1.46
89470,25070,10.204
89453,88715,0.0113
89453,88316,0.45
89453,88309,0.45
89453,38597,0.97
89453,38591,1.46
89453,38589,1.46
89453,25070,10.204
104443,88316,0.64
104443,88309,0.64
104443,87286,0.0168
104443,44902,0.96
104443,44901,1.44
104443,44900,1.44
104443,34573,10.11
104441,88316,0.46
104441,88309,0.46
104441,87286,0.0113
104441,44902,0.96
104441,44901,1.44
104441,44900,1.44
104441,34573,10.11
103354,88316,0.69
103354,88309,1.38
103354,87292,0.0104
103354,44459,30.19
103354,37395,0.0139
103354,34558,0.58
103355,88316,0.69
103355,88309,1.38
103355,87369,0.0104
103355,44459,30.19
103355,37395,0.0139
103355,34558,0.58
103330,88316,0.6
103330,88309,1.2
103330,87292,0.0098
103330,38783,28.31
103330,37395,0.01
103330,34558,0.42
103331,88316,0.6
103331,88309,1.2
103331,87369,0.0098
103331,38783,28.31
103331,37395,0.01
103331,34558,0.42
103358,88316,0.48
103358,88309,0.96
103358,87292,0.0083
103358,44460,18.87
103358,37395,0.01
103358,34558,0.42
103359,88316,0.48
103359,88309,0.96
103359,87369,0.0083
103359,44460,18.87
103359,37395,0.01
103359,34558,0.42
103366,88316,0.37
103366,88309,0.74
103366,87292,0.0075
103366,44461,14.15
103366,37395,0.01
103366,34558,0.42
103367,88316,0.37
103367,88309,0.74
103367,87369,0.0075
103367,44461,14.15
103367,37395,0.01
103367,34558,0.42
103360,88316,0.565
103360,88309,1.13
103360,87292,0.0105
103360,44462,18.87
103360,37395,0.01
103360,34547,0.42
103361,88316,0.565
103361,88309,1.13
103361,87369,0.0105
103361,44462,18.87
103361,37395,0.01
103361,34547,0.42
103368,88316,0.43
103368,88309,0.86
103368,87292,0.0095
103368,44463,14.15
103368,37395,0.01
103368,34547,0.42
103369,88316,0.43
103369,88309,0.86
103369,87369,0.0095
103369,44463,14.15
103369,37395,0.01
103369,34547,0.42
103334,88316,1.16
103334,88309,2.32
103334,87292,0.0183
103334,37395,0.0193
103334,34547,0.805
103334,7267,56.62
103335,88316,1.16
103335,88309,2.32
103335,87369,0.0183
103335,37395,0.0193
103335,34547,0.805
103335,7267,56.62
103362,88316,0.645
103362,88309,1.29
103362,87292,0.0118
103362,44464,18.87
103362,37395,0.01
103362,34548,0.42
103363,88316,0.645
103363,88309,1.29
103363,87369,0.0118
103363,44464,18.87
103363,37395,0.01
103363,34548,0.42
103370,88316,0.495
103370,88309,0.99
103370,87292,0.0107
103370,44465,14.15
103370,37395,0.01
103370,34548,0.42
103371,88316,0.495
103371,88309,0.99
103371,87369,0.0107
103371,44465,14.15
103371,37395,0.01
103371,34548,0.42
103332,88316,1.1
103332,88309,2.2
103332,87292,0.0105
103332,37395,0.0069
103332,34557,0.58
103332,7267,37.74
103333,88316,1.1
103333,88309,2.2
103333,87369,0.0105
103333,37395,0.0069
103333,34557,0.58
103333,7267,37.74
103352,88316,0.9
103352,88309,1.8
103352,87292,0.0097
103352,44458,30.19
103352,37395,0.0069
103352,34557,0.58
103353,88316,0.9
103353,88309,1.8
103353,87369,0.0097
103353,44458,30.19
103353,37395,0.0069
103353,34557,0.58
103328,88316,0.805
103328,88309,1.61
103328,87292,0.0091
103328,37395,0.005
103328,34557,0.42
103328,7271,28.31
103329,88316,0.805
103329,88309,1.61
103329,87369,0.0091
103329,37395,0.005
103329,34557,0.42
103329,7271,28.31
103356,88316,0.385
103356,88309,0.77
103356,87292,0.0077
103356,37395,0.005
103356,34557,0.42
103356,7268,18.87
103357,88316,0.385
103357,88309,0.77
103357,87369,0.0077
103357,37395,0.005
103357,34557,0.42
103357,7268,18.87
103364,88316,0.295
103364,88309,0.59
103364,87292,0.0069
103364,44457,14.15
103364,37395,0.01
103364,34557,0.42
103365,88316,0.295
103365,88309,0.59
103365,87369,0.0069
103365,44457,14.15
103365,37395,0.005
103365,34557,0.42
103350,88316,1.515
103350,88309,3.03
103350,87292,0.0134
103350,37395,0.0097
103350,34557,0.805
103350,7270,56.62
103351,88316,1.515
103351,88309,3.03
103351,87369,0.0134
103351,37395,0.0097
103351,34557,0.805
103351,7270,56.62
103344,88316,0.48
103344,88309,0.96
103344,87292,0.0122
103344,44466,18.14
103344,37395,0.01
103344,34558,0.42
103345,88316,0.48
103345,88309,0.96
103345,87369,0.0122
103345,44466,18.14
103345,37395,0.01
103345,34558,0.42
103348,88316,0.37
103348,88309,0.74
103348,87292,0.0111
103348,44467,13.6
103348,37395,0.01
103348,34558,0.42
103349,88316,0.37
103349,88309,0.74
103349,87369,0.0111
103349,44467,13.6
103349,37395,0.01
103349,34558,0.42
103346,88316,0.565
103346,88309,1.13
103346,87292,0.013
103346,44468,18.14
103346,37395,0.01
103346,34547,0.42
103347,88316,0.565
103347,88309,1.13
103347,87369,0.013
103347,44468,18.14
103347,37395,0.01
103347,34547,0.42
103324,88316,0.43
103324,88309,0.86
103324,87292,0.0118
103324,37593,13.6
103324,37395,0.01
103324,34547,0.42
103325,88316,0.43
103325,88309,0.86
103325,87369,0.0118
103325,37593,13.6
103325,37395,0.01
103325,34547,0.42
103326,88316,0.495
103326,88309,0.99
103326,87292,0.0138
103326,37594,13.6
103326,37395,0.01
103326,34548,0.42
103327,88316,0.495
103327,88309,0.99
103327,87369,0.0138
103327,37594,13.6
103327,37395,0.01
103327,34548,0.42
103322,88316,0.295
103322,88309,0.59
103322,87292,0.0104
103322,37592,13.6
103322,37395,0.005
103322,34557,0.42
103323,88316,0.295
103323,88309,0.59
103323,87369,0.0104
103323,37592,13.6
103323,37395,0.005
103323,34557,0.42
103338,88316,0.65
103338,88309,1.3
103338,87292,0.0102
103338,37395,0.01
103338,37103,13.6
103338,34547,0.42
103339,88316,0.65
103339,88309,1.3
103339,87369,0.0102
103339,37395,0.01
103339,37103,13.6
103339,34547,0.42
103340,88316,0.735
103340,88309,1.47
103340,87292,0.0128
103340,37395,0.01
103340,34555,13.6
103340,34548,0.42
103341,88316,0.735
103341,88309,1.47
103341,87369,0.0128
103341,37395,0.01
103341,34555,13.6
103341,34548,0.42
103336,88316,0.475
103336,88309,0.95
103336,87292,0.0087
103336,37395,0.005
103336,34599,13.6
103336,34557,0.42
103337,88316,0.475
103337,88309,0.95
103337,87369,0.0087
103337,37395,0.005
103337,34599,13.6
103337,34557,0.42
103342,88316,0.565
103342,88309,1.13
103342,87292,0.0113
103342,37395,0.01
103342,34592,18.14
103342,34547,0.42
103343,88316,0.565
103343,88309,1.13
103343,87369,0.0113
103343,37395,0.01
103343,34592,18.14
103343,34547,0.42
103318,88316,0.5
103318,88309,1
103318,87292,0.0102
103318,37395,0.01
103318,34547,0.42
103318,651,13.6
103319,88316,0.5
103319,88309,1
103319,87369,0.0102
103319,37395,0.01
103319,34547,0.42
103319,651,13.6
103320,88316,0.565
103320,88309,1.13
103320,87292,0.0128
103320,37395,0.01
103320,34548,0.42
103320,654,13.6
103321,88316,0.565
103321,88309,1.13
103321,87369,0.0128
103321,37395,0.01
103321,34548,0.42
103321,654,13.6
103316,88316,0.365
103316,88309,0.73
103316,87292,0.0087
103316,37395,0.005
103316,34557,0.42
103316,650,13.6
103317,88316,0.365
103317,88309,0.73
103317,87369,0.0087
103317,37395,0.005
103317,34557,0.42
103317,650,13.6
101166,88316,4.172
101166,88309,8.344
101166,87292,0.13
101166,34586,122.27
101165,88316,5.132
101165,88309,10.263
101165,87292,0.13
101165,34566,122.27
101163,88316,2.1
101163,88309,4.199
101163,87292,0.01
101163,43059,0.545
101163,718,25.68
101164,88316,2.1
101164,88309,4.199
101164,87292,0.017
101164,43059,0.545
101164,715,25.68
101162,100489,0.023
101162,88316,1.11
101162,88309,2.22
101162,7272,23.29
101161,100489,0.01
101161,88316,1.028
101161,88309,2.055
101161,665,3.95
101160,88316,0.461
101160,88309,0.921
101160,44396,0.532
101160,44364,3.56
101160,44363,54.29
101160,44212,5.03
101159,88316,0.97
101159,88309,1.939
101159,87292,0.028
101159,7258,73.49
101154,88316,0.402
101154,88309,0.803
101154,87292,0.016
101154,34557,0.46
101154,674,1.027
101155,88316,0.538
101155,88309,1.075
101155,87292,0.016
101155,34600,1.027
101155,34547,0.46
101156,88316,0.538
101156,88309,1.627
101156,87292,0.016
101156,34548,0.46
101156,652,1.027
101158,88316,0.284
101158,88309,0.567
101158,44324,0.01
101158,34583,1.027
101157,88316,0.242
101157,88309,0.484
101157,44324,0.01
101157,34584,1.027
87382,88404,3.42
87382,88399,1.04
87382,88377,4.46
87382,371,############
87383,88392,2.68
87383,88386,0.82
87383,88377,3.5
87383,371,############
87384,88398,1.64
87384,88393,0.5
87384,88377,2.14
87384,88316,0.52
87384,371,############
87398,88316,12.59
87398,371,############
87395,88404,4.46
87395,88399,1.36
87395,88377,5.82
87395,37553,############
87396,88392,3.62
87396,88386,1.1
87396,88377,4.72
87396,37553,############
87397,88398,2.29
87397,88393,0.7
87397,88377,2.99
87397,88316,0.86
87397,37553,############
87402,88316,15.78
87402,37553,############
87391,88404,4.46
87391,88399,1.36
87391,88377,5.82
87391,37552,############
87393,88392,3.62
87393,88386,1.1
87393,88377,4.72
87393,37552,############
87394,88398,2.29
87394,88393,0.7
87394,88377,2.99
87394,88316,0.86
87394,37552,############
87401,88316,15.78
87401,37552,############
87407,88430,3.57
87407,88418,0.67
87407,88377,4.24
87407,371,############
87408,88438,2.68
87408,88433,0.5
87408,88377,3.18
87408,371,############
87404,88430,5.61
87404,88418,0.67
87404,88377,6.28
87404,36880,############
87405,88438,4.21
87405,88433,0.5
87405,88377,4.71
87405,36880,############
87388,88404,3.44
87388,88399,1.05
87388,88377,4.49
87388,36880,############
87389,88392,2.66
87389,88386,0.81
87389,88377,3.47
87389,36880,############
87390,88398,1.64
87390,88393,0.5
87390,88377,2.14
87390,88316,0.52
87390,36880,############
87385,88404,4.08
87385,88399,1.24
87385,88377,5.32
87385,36886,############
87386,88392,3.08
87386,88386,0.94
87386,88377,4.02
87386,36886,############
87387,88398,1.91
87387,88393,0.58
87387,88377,2.49
87387,88316,0.63
87387,36886,############
87399,88316,13.53
87399,36886,############
88627,88316,8.78
88627,1379,339.62
88627,1106,75.47
88627,370,1.13
100463,102953,3.54
100463,102952,1.08
100463,88377,4.62
100463,1379,336.29
100463,1106,74.73
100463,370,1.12
88626,88831,2.98
88626,88830,0.9
88626,88377,3.88
88626,1379,339.6
88626,1106,75.47
88626,370,1.13
100488,89226,1.9
100488,89225,0.58
100488,88377,2.48
100488,88316,0.78
100488,1379,340.69
100488,1106,75.71
100488,370,1.14
100464,88404,4.08
100464,88399,1.24
100464,88377,5.32
100464,1379,330.83
100464,1106,73.52
100464,370,1.1
100465,88392,2.69
100465,88386,0.82
100465,88377,3.51
100465,1379,333.18
100465,1106,74.04
100465,370,1.11
100466,88398,1.56
100466,88393,0.48
100466,88377,2.04
100466,88316,0.58
100466,1379,334.77
100466,1106,74.39
100466,370,1.12
87368,88316,11.32
87368,1379,208
87368,1106,138.67
87368,370,1.16
100450,102953,5.38
100450,102952,1.64
100450,88377,7.02
100450,1379,207.85
100450,1106,138.56
100450,370,1.15
87289,88831,3.74
87289,88830,1.13
87289,88377,4.87
87289,1379,211.61
87289,1106,141.07
87289,370,1.18
87290,89226,2.63
87290,89225,0.8
87290,88377,3.43
87290,88316,0.74
87290,1379,212.37
87290,1106,141.58
87290,370,1.18
87333,88392,4.11
87333,88386,1.25
87333,88377,5.36
87333,1379,205.54
87333,1106,137.03
87333,370,1.14
87334,88398,2.35
87334,88393,0.71
87334,88377,3.06
87334,88316,0.63
87334,1379,206.6
87334,1106,137.73
87334,370,1.15
105515,90638,2.38
105515,90637,0.75
105515,88377,3.12
105515,88316,4.99
105515,1379,681.59
105515,370,0.975
87367,88316,11.23
87367,1379,261.89
87367,1106,116.4
87367,370,1.16
100449,102953,6.24
100449,102952,1.9
100449,88377,8.14
100449,1379,260.73
100449,1106,115.88
100449,370,1.16
87286,88831,3.96
87286,88830,1.2
87286,88377,5.16
87286,1379,263.74
87286,1106,117.22
87286,370,1.17
87287,89226,2.41
87287,89225,0.73
87287,88377,3.14
87287,88316,0.76
87287,1379,266.85
87287,1106,118.6
87287,370,1.19
87331,88392,4.75
87331,88386,1.45
87331,88377,6.2
87331,1379,258.04
87331,1106,114.68
87331,370,1.15
87332,88398,2.15
87332,88393,0.66
87332,88377,2.81
87332,88316,0.63
87332,1379,261.13
87332,1106,116.06
87332,370,1.16
87369,88316,11.1
87369,1379,192.52
87369,1106,171.13
87369,370,1.14
100451,102953,4.98
100451,102952,1.52
100451,88377,6.5
100451,1379,192.38
100451,1106,171
100451,370,1.14
87292,88831,3.45
87292,88830,1.05
87292,88377,4.5
87292,1379,195.86
87292,1106,174.1
87292,370,1.16
87335,88392,3.8
87335,88386,1.16
87335,88377,4.96
87335,1379,206.42
87335,1106,137.61
87335,370,1.15
87336,88398,2.24
87336,88393,0.68
87336,88377,2.92
87336,88316,0.62
87336,1379,191.45
87336,1106,170.18
87336,370,1.13
87370,88316,11.17
87370,1379,175.34
87370,1106,155.86
87370,370,1.17
100452,102953,4.9
100452,102952,1.49
100452,88377,6.39
100452,1379,175.86
100452,1106,156.32
100452,370,1.17
88715,88831,3.27
88715,88830,0.99
88715,88377,4.26
88715,1379,178.82
88715,1106,158.95
88715,370,1.19
87294,89226,2.8
87294,89225,0.85
87294,88377,3.65
87294,88316,0.79
87294,1379,177.12
87294,1106,157.44
87294,370,1.18
87337,88392,3.74
87337,88386,1.14
87337,88377,4.88
87337,1379,173.77
87337,1106,154.46
87337,370,1.16
100487,88398,2.14
100487,88393,0.65
100487,88377,2.79
100487,88316,0.62
